PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-03-11,16:57:40.37,1,1,"Roberts, Braxton",10050666,Right,CAR_EAG,"Roberts, Braxton",10050666,Right,CAR_EAG,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,73.81689,-1.742837,-2.394696,2023.067698,259.02426,2:45,5.89584,1.46197,5.07634,-52.07889,2.28524,0.72744,-0.08907,-0.73633,66.70829,-11.182266,-2.265792,0.530674,,,,,,,,,,,,-1.22768,2.27717,-1.23541,50,5.6895,4.43459,-106.70072,-4.94742,-1.37602,23.10758,-29.6217,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260311-CarsonNewman-Private-1,f1bbce00-1d8c-11f1-a02f-377504108c05,71.02753,,,7.1086,,,,,,,b5f7127c-8339-4327-8a5f-b19290cd0a53,2026-03-11,20:57:40.37,2026-03-11T16:57:40.3704320-04:00,2026-03-11T20:57:40.3704320Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,c5fb6fd6-5de0-4655-86bd-48276d761a19,55.42309,-107.86878,11.55379,5.90174,-3.45009,-14.81085,-1.46133,4.50415,-0.68801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,250.624974,82.228733,273.5566,0.135219,2:15,-0.987491,-0.157636,-0.003601,104.145575,15.232269,-48.981692,175.375137,-30.629729,0.069382,-0.509488,-0.857676,30.711713,-3.978468,0.509488,-0.069382,0.857676,-30.711713,3.978468,-0.509488,0.069382,0.857676,-175.375137,30.629729,-0.069382,0.509488,-0.857676
2,2026-03-11,16:57:57.62,1,2,"Roberts, Braxton",10050666,Right,CAR_EAG,"Roberts, Braxton",10050666,Right,CAR_EAG,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.7551,-4.707083,-3.781715,1955.153549,222.943486,1:30,5.9824,1.35741,5.11154,-23.98627,19.52918,16.79359,-0.47088,-0.8112,74.93605,-9.12202,-0.816018,0.474781,,,,,,,,,,,,-9.5593,11.51851,-1.01485,50,5.51898,7.11643,-118.02294,-10.52143,-13.46356,22.77053,-15.95113,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260311-CarsonNewman-Private-1,fc0c5690-1d8c-11f1-a02f-377504108c05,79.38915,,,6.81905,,,,,,,b5f7127c-8339-4327-8a5f-b19290cd0a53,2026-03-11,20:57:57.62,2026-03-11T16:57:57.6270848-04:00,2026-03-11T20:57:57.6270848Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,11e26407-b6ab-4b07-968d-a195e7fd4908,55.39121,-119.05854,11.38526,5.981,-9.79598,-7.97556,-1.35243,7.72875,-6.73178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,217.394332,-7.001155,1940.575325,0.992544,1:15,0.118561,-0.590734,-0.798108,-35.399125,-6.646623,-9.255552,173.199184,0.802027,0.118407,0.013998,-0.992867,0.807709,6.800146,0.013998,0.118407,0.992867,-0.807709,-6.800146,-0.013998,-0.118407,0.992867,-173.199184,-0.802027,-0.118407,-0.013998,-0.992867
3,2026-03-11,16:58:15.30,1,3,"Roberts, Braxton",10050666,Right,CAR_EAG,"Roberts, Braxton",10050666,Right,CAR_EAG,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.29323,-1.482142,-2.237976,1867.984427,222.751229,1:30,5.86201,1.46602,5.06493,-26.68616,17.10997,14.46922,2.2392,0.56041,74.19967,-6.415476,0.318657,0.47631,,,,,,,,,,,,-7.81209,9.34642,-1.2653,50,5.70049,3.98638,-117.79666,-3.93712,-10.95016,22.88142,-19.07322,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260311-CarsonNewman-Private-1,069cce50-1d8d-11f1-a02f-377504108c05,79.13434,,,7.09356,,,,,,,b5f7127c-8339-4327-8a5f-b19290cd0a53,2026-03-11,20:58:15.30,2026-03-11T16:58:15.3068544-04:00,2026-03-11T20:58:15.3068544Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,707e7e92-d406-43a6-89ff-7f40efe0c6ea,55.43454,-118.84761,11.44071,5.86121,-3.06109,-9.53661,-1.45994,4.48932,-5.47508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,214.659465,7.260272,1853.007504,0.991982,1:15,-0.143521,-0.567218,-0.810966,75.568701,40.655171,71.588021,157.420813,-77.073276,0.085894,-0.974657,-0.206558,78.034426,-4.927416,0.974657,-0.085894,0.206558,-78.034426,4.927416,-0.974657,0.085894,0.206558,-157.420813,77.073276,-0.085894,0.974657,-0.206558
4,2026-03-11,16:58:29.07,1,4,"Roberts, Braxton",10050666,Right,CAR_EAG,"Roberts, Braxton",10050666,Right,CAR_EAG,Undefined,1,Top,0,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.7801,-1.466572,-1.976401,1570.703815,217.565402,1:15,5.96855,1.50569,4.9674,-27.31505,16.76182,11.86737,2.30576,0.62687,74.45621,-6.477439,0.117023,0.477834,,,,,,,,,,,,-6.3889,9.08032,-1.32472,50,5.80464,3.54246,-117.18652,-3.93151,-8.95294,20.54173,-19.44954,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260311-CarsonNewman-Private-1,0ed6fa00-1d8d-11f1-a02f-377504108c05,78.88192,,,6.32389,,,,,,,b5f7127c-8339-4327-8a5f-b19290cd0a53,2026-03-11,20:58:29.07,2026-03-11T16:58:29.0766848-04:00,2026-03-11T20:58:29.0766848Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,24d82a17-760c-4789-b65f-d6aab640d661,55.53338,-118.15249,10.27087,5.96801,-3.0169,-9.72477,-1.50121,3.96347,-4.47647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,218.516869,-2.894225,1568.700306,0.998724,1:15,0.039405,-0.620455,-0.783252,-84.746759,-39.88724,-88.815396,158.476695,-86.016654,0.025486,-0.997584,-0.064623,86.293615,-1.46039,0.997584,-0.025486,0.064623,-86.293615,1.46039,-0.997584,0.025486,0.064623,-158.476695,86.016654,-0.025486,0.997584,-0.064623
5,2026-03-11,16:58:43.57,1,5,"Roberts, Braxton",10050666,Right,CAR_EAG,"Roberts, Braxton",10050666,Right,CAR_EAG,Undefined,1,Top,0,2,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.53055,-1.136769,-1.90273,2098.988383,15.830092,6:30,5.677,1.53884,5.27392,-53.8746,-0.59433,-0.67016,0.11896,-0.30491,67.67681,-10.879286,-2.021969,0.525357,,,,,,,,,,,,-0.23476,0.4965,-1.36441,50,5.53321,3.56683,-106.6268,-3.84781,-0.26811,19.70674,-31.60702,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260311-CarsonNewman-Private-1,17758cd0-1d8d-11f1-a02f-377504108c05,71.74631,,,5.85373,,,,,,,b5f7127c-8339-4327-8a5f-b19290cd0a53,2026-03-11,20:58:43.57,2026-03-11T16:58:43.5749888-04:00,2026-03-11T20:58:43.5749888Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,7a5868d2-096d-414f-9a6e-768365ca8a86,55.22816,-107.58873,9.85337,5.68337,-2.305,-15.80351,-1.53884,3.57991,-0.13406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,330.903476,88.775768,44.84543,0.021365,5:00,-0.998198,-0.030222,0.051841,92.65618,6.896718,-59.789114,177.735263,-28.585301,0.0347,-0.478467,-0.87742,28.604116,-1.98856,0.478467,-0.0347,0.87742,-28.604116,1.98856,-0.478467,0.0347,0.87742,-177.735263,28.585301,-0.0347,0.478467,-0.87742
6,2026-03-11,16:59:02.01,1,6,"Roberts, Braxton",10050666,Right,CAR_EAG,"Roberts, Braxton",10050666,Right,CAR_EAG,Undefined,1,Top,0,3,1,Slider,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,74.49108,-0.88888,-2.1168,2085.556834,24.654904,6:45,6.12607,1.59429,4.91517,-51.31597,1.01264,-0.29461,1.0086,-0.43275,68.77726,-10.114922,-2.168819,0.520644,,,,,,,,,,,,-0.44835,1.2702,-1.38728,50,5.99645,4.00333,-107.99466,-3.44134,-0.52903,18.95383,-30.67522,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260311-CarsonNewman-Private-1,227233e0-1d8d-11f1-a02f-377504108c05,72.39578,,,5.71383,,,,,,,b5f7127c-8339-4327-8a5f-b19290cd0a53,2026-03-11,20:59:02.01,2026-03-11T16:59:02.0145664-04:00,2026-03-11T20:59:02.0145664Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,6f22d7cd-4acd-4061-9cb2-929d9a4bf7c7,55.5856,-108.97056,9.47692,6.13298,-1.86192,-15.33761,-1.59411,4.03057,-0.26452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,231.79685,83.496001,236.236372,0.113273,1:45,-0.993974,-0.104415,-0.033362,98.566932,19.960679,-59.631504,177.870054,22.112488,0.034432,0.376426,-0.925807,22.126302,1.973217,0.376426,0.034432,0.925807,-22.126302,-1.973217,-0.376426,-0.034432,0.925807,-177.870054,-22.112488,-0.034432,-0.376426,-0.925807
7,2026-03-11,16:59:21.80,2,1,"Roberts, Braxton",10050666,Right,CAR_EAG,"Roberts, Braxton",10050666,Right,CAR_EAG,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.83262,-0.933994,-2.15993,1791.638918,230.006636,1:45,6.14325,1.53865,4.90583,-26.06773,18.93064,20.61304,3.08693,1.21273,72.96827,-5.784933,1.47136,0.482803,,,,,,,,,,,,-10.77221,10.0856,-1.34536,50,6.03101,3.50368,-116.98869,-2.76416,-14.73858,24.69847,-18.37488,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260311-CarsonNewman-Private-1,2e39cc10-1d8d-11f1-a02f-377504108c05,78.07005,,,7.86435,,,,,,,b5f7127c-8339-4327-8a5f-b19290cd0a53,2026-03-11,20:59:21.80,2026-03-11T16:59:21.8032640-04:00,2026-03-11T20:59:21.8032640Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,f9c8b67b-653f-40f3-a7a3-b5568ff4ffeb,55.59182,-118.16333,12.34924,6.14169,-1.89027,-9.18744,-1.52866,4.20463,-7.36929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,217.524456,6.785293,1779.090042,0.992996,1:15,-0.137879,-0.606679,-0.782898,84.319564,42.932507,87.71034,157.997819,-76.852078,0.085218,-0.973786,-0.210899,77.779797,-4.888575,0.973786,-0.085218,0.210899,-77.779797,4.888575,-0.973786,0.085218,0.210899,-157.997819,76.852078,-0.085218,0.973786,-0.210899
8,2026-03-11,16:59:36.29,2,2,"Roberts, Braxton",10050666,Right,CAR_EAG,"Roberts, Braxton",10050666,Right,CAR_EAG,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.47656,-2.180418,-3.517532,1812.427849,232.089708,1:45,6.20029,1.49599,4.88987,-27.63269,17.60658,20.58446,1.82998,-0.12044,73.2547,-7.2713,0.104013,0.484093,,,,,,,,,,,,-11.19012,9.78123,-1.169,50,5.96348,6.27112,-116.39104,-5.37068,-15.26645,22.95814,-18.8297,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260311-CarsonNewman-Private-1,36d4dc70-1d8d-11f1-a02f-377504108c05,77.86191,,,7.22186,,,,,,,b5f7127c-8339-4327-8a5f-b19290cd0a53,2026-03-11,20:59:36.29,2026-03-11T16:59:36.2948096-04:00,2026-03-11T20:59:36.2948096Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,44222c9a-6f6d-466d-a286-5fd91686d19b,55.61033,-117.49246,11.47907,6.19947,-4.46732,-9.41485,-1.48742,7.00354,-7.63323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,219.606291,2.45328,1810.766682,0.999083,1:15,-0.065733,-0.638092,-0.767149,80.175011,40.625678,87.528248,176.207766,-77.967044,0.013788,-0.978028,-0.208018,77.992626,-0.790031,0.978028,-0.013788,0.208018,-77.992626,0.790031,-0.978028,0.013788,0.208018,-176.207766,77.967044,-0.013788,0.978028,-0.208018
9,2026-03-11,16:59:54.06,2,3,"Roberts, Braxton",10050666,Right,CAR_EAG,"Roberts, Braxton",10050666,Right,CAR_EAG,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.78398,3.057964,-0.396489,2158.097775,45.333662,7:30,5.99702,1.50311,4.65172,-55.86483,0.48213,-1.11642,4.25001,1.03334,66.37492,-6.981606,-0.592201,0.540265,,,,,,,,,,,,0.44571,0.01063,-1.46151,50,6.25886,0.76444,-104.09647,3.63785,0.49461,15.61943,-32.16224,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260311-CarsonNewman-Private-1,416b2090-1d8d-11f1-a02f-377504108c05,69.76658,,,5.40906,,,,,,,b5f7127c-8339-4327-8a5f-b19290cd0a53,2026-03-11,20:59:54.06,2026-03-11T16:59:54.0639232-04:00,2026-03-11T20:59:54.0639232Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,c6939ad0-280d-41f5-9045-75ba1e76d2a9,55.85006,-104.97059,7.80971,6.00491,5.43776,-16.08112,-1.50352,0.73676,0.24731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,40.330197,87.093378,109.433627,0.050708,7:15,-0.995249,0.086049,0.045545,102.005265,32.968249,-65.70482,177.395574,25.731601,0.040934,0.434156,-0.899907,25.754767,2.346013,0.434156,0.040934,0.899907,-25.754767,-2.346013,-0.434156,-0.040934,0.899907,-177.395574,-25.731601,-0.040934,-0.434156,-0.899907
10,2026-03-11,17:00:10.84,2,4,"Roberts, Braxton",10050666,Right,CAR_EAG,"Roberts, Braxton",10050666,Right,CAR_EAG,Undefined,1,Top,0,1,1,Slider,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,72.08157,1.299426,1.099001,2173.132928,42.197166,7:30,6.05143,1.60729,4.86694,-55.09314,0.46343,-1.06307,2.69056,2.55893,66.71024,-8.624949,0.9116,0.536462,,,,,,,,,,,,0.81953,0.25815,-1.71454,50,6.13201,-1.968,-104.64381,0.54969,0.9138,16.73258,-31.88621,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260311-CarsonNewman-Private-1,4b763bb0-1d8d-11f1-a02f-377504108c05,70.26112,,,5.37133,,,,,,,b5f7127c-8339-4327-8a5f-b19290cd0a53,2026-03-11,21:00:10.84,2026-03-11T17:00:10.8478464-04:00,2026-03-11T21:00:10.8478464Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,780f9ac7-b3c3-4038-bfad-bff2ac63b2c9,55.63688,-105.5413,8.36629,6.05666,2.25998,-15.9431,-1.60767,-2.01701,0.4569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,17.091006,86.270499,141.353871,0.065046,6:30,-0.998201,0.041741,0.043036,89.837193,11.94054,-68.14848,177.149104,24.219237,0.045359,0.410229,-0.910854,24.245794,2.599786,0.410229,0.045359,0.910854,-24.245794,-2.599786,-0.410229,-0.045359,0.910854,-177.149104,-24.219237,-0.045359,-0.410229,-0.910854
