PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,2026-03-12,16:36:03.64,1,1,"Wayne, Mikey",1000283132,Right,CAR_EAG,"Weeks, Camrin",10122834,Left,CAR_EAG,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,81.01058,-2.972951,-3.72867,2138.874264,193.81445,12:30,5.58943,1.11228,6.46366,-22.24812,21.13143,4.73233,0.9964,-1.92313,71.78516,-7.29155,-2.872794,0.474039,,,,,,,,,,,,-3.85732,12.64812,-0.85032,50,5.36879,7.43732,-116.92757,-6.57971,-5.14989,29.36105,-15.2877,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260312-CarsonNewman-Private-1,16ba6830-1e53-11f1-8751-d54cb75c52a0,79.5134,,,9.22542,,,,,,,8a318453-3c9f-4f41-8557-2266af76ef5f,2026-03-12,20:36:03.64,2026-03-12T16:36:03.6480000-04:00,2026-03-12T20:36:03.6480000Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,958fedaa-f361-4716-8e45-1c6af1e086bf,54.02725,-117.9345,14.68053,5.58545,-6.05542,-7.64385,-1.10841,7.61393,-2.57494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,206.913957,17.705431,2037.561472,0.952633,1:00,-0.335995,-0.446404,-0.829356,-27.274933,9.56469,10.171355,164.554588,-3.905748,0.265702,-0.068115,-0.961646,4.051612,-15.408647,0.068115,-0.265702,0.961646,-4.051612,15.408647,-0.068115,0.265702,0.961646,-164.554588,3.905748,-0.265702,0.068115,-0.961646
2,2026-03-12,16:36:17.82,1,2,"Wayne, Mikey",1000283132,Right,CAR_EAG,"Weeks, Camrin",10122834,Left,CAR_EAG,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,70.36507,0.802298,-2.533377,2040.38616,100.821252,9:15,5.52146,1.38163,5.74682,-53.98515,4.72193,-12.16981,1.77046,-1.99276,62.96825,-9.194208,-4.708865,0.551463,,,,,,,,,,,,5.17036,2.84559,-1.16368,50,5.55632,4.93384,-101.74567,-0.10778,5.23411,22.02033,-29.29338,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260312-CarsonNewman-Private-1,1f3f5880-1e53-11f1-8751-d54cb75c52a0,68.34987,,,7.39682,,,,,,,8a318453-3c9f-4f41-8557-2266af76ef5f,2026-03-12,20:36:17.82,2026-03-12T16:36:17.8280000-04:00,2026-03-12T20:36:17.8280000Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,035c6dd8-b72b-403f-9cde-57872f2e01c1,54.74819,-102.76816,11.01017,5.52974,1.25243,-14.64669,-1.38714,4.6908,2.61705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,114.801329,71.000309,664.274351,0.325563,9:45,-0.946406,0.308746,-0.094825,57.975437,-41.826312,63.226203,167.902177,-33.179663,0.175411,-0.547266,-0.818371,33.771694,-10.102575,0.547266,-0.175411,0.818371,-33.771694,10.102575,-0.547266,0.175411,0.818371,-167.902177,33.179663,-0.175411,0.547266,-0.818371
3,2026-03-12,16:36:35.39,1,3,"Wayne, Mikey",1000283132,Right,CAR_EAG,"Weeks, Camrin",10122834,Left,CAR_EAG,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,80.81819,-2.959706,-1.708542,2100.991612,207.61252,1:00,5.64064,1.14117,6.57932,-23.25352,19.56584,9.33252,0.98659,0.3525,72.3645,-7.443464,-0.01125,0.470968,,,,,,,,,,,,-5.44563,11.78804,-1.02712,50,5.42742,3.14597,-117.02056,-6.58696,-7.35175,27.51509,-16.25983,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260312-CarsonNewman-Private-1,29a98390-1e53-11f1-8751-d54cb75c52a0,80.03182,,,8.45368,,,,,,,8a318453-3c9f-4f41-8557-2266af76ef5f,2026-03-12,20:36:35.39,2026-03-12T16:36:35.3900000-04:00,2026-03-12T20:36:35.3900000Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,292d2767-93a2-47ea-8d35-9626ad69a2ef,53.91514,-117.93753,13.75755,5.63791,-6.04509,-8.12992,-1.13605,3.39098,-3.67587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,199.10212,22.702046,1938.215833,0.922524,12:45,-0.395662,-0.321423,-0.860313,-30.73574,4.139568,4.651446,158.603166,-11.915385,0.356965,-0.206467,-0.911015,12.769465,-20.913902,0.206467,-0.356965,0.911015,-12.769465,20.913902,-0.206467,0.356965,0.911015,-158.603166,11.915385,-0.356965,0.206467,-0.911015
4,2026-03-12,16:36:51.54,1,4,"Wayne, Mikey",1000283132,Right,CAR_EAG,"Weeks, Camrin",10122834,Left,CAR_EAG,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,69.62593,3.262869,0.004729,2044.970932,74.148796,8:30,5.42828,1.51261,5.61743,-61.45385,-0.90736,-12.22461,3.35569,0.49831,61.67388,-8.122369,-2.177518,0.560036,,,,,,,,,,,,6.08748,-0.87559,-1.50532,50,5.66898,0.43821,-100.56668,3.92387,5.99723,22.07845,-33.03664,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260312-CarsonNewman-Private-1,335eb680-1e53-11f1-8751-d54cb75c52a0,67.30361,,,7.95205,,,,,,,8a318453-3c9f-4f41-8557-2266af76ef5f,2026-03-12,20:36:51.54,2026-03-12T16:36:51.5460000-04:00,2026-03-12T20:36:51.5460000Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,dc60f3f9-7401-478e-826d-9cd6b8792d07,54.87733,-101.63181,11.03923,5.44124,5.51766,-16.51832,-1.51948,0.14889,2.99862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.18783,,,1.004004,,,,-0.3154,5.96575,1.09392,81.02298,8.85838,-43.7723,-0.2855,85.36847,-4.36412,5.99993,17.22797,-14.31984,1.03511,-50.64425,5.98641,High,High,High,,,High,High,High,102.14064,65.913227,834.592969,0.40812,9:30,-0.888732,0.450306,-0.085906,-104.553973,32.404227,22.086572,165.15308,-30.419901,0.220963,-0.506333,-0.833548,31.276324,-12.765614,0.506333,-0.220963,0.833548,-31.276324,12.765614,-0.506333,0.220963,0.833548,-165.15308,30.419901,-0.220963,0.506333,-0.833548
5,2026-03-12,16:37:19.53,1,5,"Wayne, Mikey",1000283132,Right,CAR_EAG,"Weeks, Camrin",10122834,Left,CAR_EAG,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,81.49226,-2.972826,-0.030631,2146.644456,200.524503,12:45,5.55621,1.25649,6.05542,-19.35135,24.47407,8.39831,1.18928,1.928,71.44921,-6.7764,1.481653,0.476469,,,,,,,,,,,,-4.29197,14.33997,-1.25835,50,5.3149,-0.27424,-117.67727,-6.53439,-5.73692,32.03716,-13.00641,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260312-CarsonNewman-Private-1,43fbcb90-1e53-11f1-8751-d54cb75c52a0,79.10788,,,10.04305,,,,,,,8a318453-3c9f-4f41-8557-2266af76ef5f,2026-03-12,20:37:19.53,2026-03-12T16:37:19.5310000-04:00,2026-03-12T20:37:19.5310000Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,7b553ccc-e7ca-4d4d-a245-1b5803f2835f,54.43602,-118.87883,16.01858,5.55082,-6.04658,-6.5032,-1.2521,-0.05908,-2.86846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,202.528423,11.986529,2099.840003,0.978196,12:45,-0.188448,-0.385054,-0.903449,-8.605964,6.837793,56.231412,161.59724,-4.906735,0.314538,-0.085534,-0.945383,5.169789,-18.332914,0.085534,-0.314538,0.945383,-5.169789,18.332914,-0.085534,0.314538,0.945383,-161.59724,4.906735,-0.314538,0.085534,-0.945383
6,2026-03-12,16:37:33.00,1,6,"Wayne, Mikey",1000283132,Right,CAR_EAG,"Weeks, Camrin",10122834,Left,CAR_EAG,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,70.98889,0.131314,-0.943444,2044.449619,114.774994,9:45,5.35014,1.55721,5.72003,-50.37766,6.9728,-10.15571,1.27434,-0.16802,63.76793,-9.202859,-2.762399,0.545055,,,,,,,,,,,,4.75236,4.2315,-1.47231,50,5.33108,2.05994,-102.77071,-1.20846,4.93685,21.58273,-27.77831,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260312-CarsonNewman-Private-1,4c154fe0-1e53-11f1-8751-d54cb75c52a0,69.15351,,,7.22096,,,,,,,8a318453-3c9f-4f41-8557-2266af76ef5f,2026-03-12,20:37:33.00,2026-03-12T16:37:33.0020000-04:00,2026-03-12T20:37:33.0020000Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,8aaa0b9e-db8b-4171-a628-1e678a2bc7e7,54.77431,-103.76851,10.79137,5.35726,0.07577,-13.88915,-1.56227,1.83171,2.46842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,119.731539,69.904203,702.454083,0.343591,10:00,-0.941112,0.300512,-0.154924,50.93493,-38.568365,55.584167,155.488128,-39.76537,0.318907,-0.639645,-0.699394,42.445117,-18.596856,0.639645,-0.318907,0.699394,-42.445117,18.596856,-0.639645,0.318907,0.699394,-155.488128,39.76537,-0.318907,0.639645,-0.699394
7,2026-03-12,16:37:51.50,1,7,"Wayne, Mikey",1000283132,Right,CAR_EAG,"Weeks, Camrin",10122834,Left,CAR_EAG,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,69.64863,0.842619,-1.53184,2146.942141,89.028783,9:00,5.364,1.25461,5.96549,-57.13491,2.11957,-15.5056,1.3844,-1.45823,62.51454,-9.753957,-4.320101,0.554028,,,,,,,,,,,,7.27733,1.56469,-1.12507,50,5.40038,3.23213,-100.84834,-0.09521,7.24566,21.47217,-30.61617,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260312-CarsonNewman-Private-1,571ad090-1e53-11f1-8751-d54cb75c52a0,68.03341,,,7.13409,,,,,,,8a318453-3c9f-4f41-8557-2266af76ef5f,2026-03-12,20:37:51.50,2026-03-12T16:37:51.5050000-04:00,2026-03-12T20:37:51.5050000Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,57d61864-4281-4713-af0a-ed04d730a34a,54.53041,-101.80836,10.73608,5.37404,1.27364,-15.30809,-1.26234,2.90818,3.62283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,76.952137,63.514901,957.461154,0.445965,8:30,-0.885556,0.447567,0.124401,67.443353,-29.501544,47.735079,167.971695,-35.969565,0.16866,-0.587355,-0.79156,36.576247,-9.70992,0.587355,-0.16866,0.79156,-36.576247,9.70992,-0.587355,0.16866,0.79156,-167.971695,35.969565,-0.16866,0.587355,-0.79156
8,2026-03-12,16:38:11.61,1,8,"Wayne, Mikey",1000283132,Right,CAR_EAG,"Weeks, Camrin",10122834,Left,CAR_EAG,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,68.25907,1.550424,-0.143176,2109.871179,89.422798,9:00,5.39654,1.30185,5.84087,-59.59743,2.28898,-18.75733,1.87142,-0.39433,61.23926,-9.495364,-3.510334,0.566199,,,,,,,,,,,,9.43473,1.37378,-1.27949,50,5.48896,0.8861,-98.85274,1.03651,9.03639,20.46171,-30.85828,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260312-CarsonNewman-Private-1,631b2c00-1e53-11f1-8751-d54cb75c52a0,66.57101,,,7.01981,,,,,,,8a318453-3c9f-4f41-8557-2266af76ef5f,2026-03-12,20:38:11.61,2026-03-12T16:38:11.6120000-04:00,2026-03-12T20:38:11.6120000Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,c4fd65eb-c519-496c-950b-0d2ce9712c45,54.65637,-99.81191,10.23086,5.40646,2.48304,-15.42914,-1.3111,0.4625,4.5182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.44078,2.552592,1.534208,1.018384,-0.80219,1.48938,0.53319,-0.68846,5.89635,1.31332,78.3303,3.84386,-46.45639,-0.63809,83.17844,-5.52491,5.94397,12.30322,-14.09636,1.24324,-52.97724,6.0155,High,High,High,,,High,High,High,73.027896,60.445286,1040.703388,0.493254,8:30,-0.85644,0.495135,0.146125,59.93383,-1.516753,46.703863,163.623534,-37.873284,0.222561,-0.613917,-0.757346,39.028813,-12.859494,0.613917,-0.222561,0.757346,-39.028813,12.859494,-0.613917,0.222561,0.757346,-163.623534,37.873284,-0.222561,0.613917,-0.757346
9,2026-03-12,16:38:37.34,1,9,"Wayne, Mikey",1000283132,Right,CAR_EAG,"Weeks, Camrin",10122834,Left,CAR_EAG,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,71.06751,0.913716,-2.123155,2137.732712,63.189874,8:00,5.33955,1.27512,5.77346,-61.00507,-3.76579,-11.9089,1.10674,-1.69398,63.97738,-10.30587,-4.257115,0.544526,,,,,,,,,,,,5.22032,-1.49902,-1.09259,50,5.37944,4.23904,-102.88323,-0.16306,5.42024,22.0432,-33.73047,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260312-CarsonNewman-Private-1,726f6d60-1e53-11f1-8751-d54cb75c52a0,69.22065,,,7.09013,,,,,,,8a318453-3c9f-4f41-8557-2266af76ef5f,2026-03-12,20:38:37.34,2026-03-12T16:38:37.3430000-04:00,2026-03-12T20:38:37.3430000Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,fa32d4e8-4039-4f32-aeab-404956c39843,54.72442,-103.89053,11.0216,5.35167,1.3783,-16.86523,-1.28064,3.99136,2.71012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,84.976809,66.795472,842.297801,0.394015,8:45,-0.910824,0.407108,0.06829,70.388916,-32.320805,51.941226,168.832964,-30.058195,0.167625,-0.500879,-0.84913,30.535231,-9.64974,0.500879,-0.167625,0.84913,-30.535231,9.64974,-0.500879,0.167625,0.84913,-168.832964,30.058195,-0.167625,0.500879,-0.84913
10,2026-03-12,16:38:50.60,1,10,"Wayne, Mikey",1000283132,Right,CAR_EAG,"Weeks, Camrin",10122834,Left,CAR_EAG,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,80.42655,-2.232517,-4.615801,2117.455678,200.485919,12:45,5.3661,1.15939,6.54959,-24.46127,18.86989,6.41485,1.27265,-2.54809,72.15284,-6.928924,-3.455951,0.473774,,,,,,,,,,,,-4.90752,11.12493,-0.84194,50,5.20065,9.14589,-116.21567,-5.12069,-6.56046,26.35472,-17.30211,CAR_EAG,CAR_EAG,CarsonNewman,TeamExclusive,Team,20260312-CarsonNewman-Private-1,7a438440-1e53-11f1-8751-d54cb75c52a0,79.5578,,,8.27371,,,,,,,8a318453-3c9f-4f41-8557-2266af76ef5f,2026-03-12,20:38:50.60,2026-03-12T16:38:50.6000000-04:00,2026-03-12T20:38:50.6000000Z,,v3,CNE,CNE,,,,Undefined,CAR_EAG,6415fcb7-3118-4103-82f4-36bc215ff7a9,53.94478,-117.10683,13.17736,5.36391,-4.53564,-8.65106,-1.15495,9.36772,-3.28023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,203.354036,33.430911,1767.124237,0.834551,12:45,-0.597539,-0.352036,-0.720429,-33.444973,22.746274,8.612684,160.810171,-16.701304,0.314833,-0.287382,-0.904595,17.624627,-18.350741,0.287382,-0.314833,0.904595,-17.624627,18.350741,-0.287382,0.314833,0.904595,-160.810171,16.701304,-0.314833,0.287382,-0.904595
